University,Term of study,Destination,Type of study,Faculty,Language of instruction,Level
Aalborg University,"Term 1 + 2, Term 3",Denmark,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Aarhus University,"Term 1 + 2, Term 2 + 3",Denmark,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Aix Marseille University,"Term 1, Term 3",France,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Akita International University,"Term 1, Term 2 + 3",Japan,Student exchange,"Business School, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours"
Alfred University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
American University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Arizona State University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Babson College,"Term 1, Term 2 + 3",USA,Student exchange,Business School,Only English,Undergraduate
Bangor University,"Term 1, Term 3",United Kingdom,,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
Barnard College,"Term 1, Term 2 + 3",USA,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Bauhaus University Weimar,"Term 1 + 2, Term 3 + Term 1",Germany,Student exchange,Art &amp; Design (discipline),No English,"Undergraduate, Honours, Postgraduate coursework"
Beijing Normal University,Term 1 + 2,China,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Berlin University of the Arts (UDK),"Term 1 + 2, Term 3",Germany,Student exchange,Art &amp; Design (discipline),No English,"Undergraduate, Honours, Postgraduate coursework"
Bezalel Academy of Arts and Design,"Term 1 + 2, Term 3 + Term 1",Israel,Student exchange,Art &amp; Design (discipline),No English,"Undergraduate, Honours, Postgraduate coursework"
Bocconi University,"Term 1 + 2, Term 3",Italy,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Boston College,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
